industry,year,t,gross_output_cp,va_cp,energy_cp,material_cp,number_employed,lab_quality,capital_stock_cp,services_cp
11,1983,4,"1,03,112","42,686",19159,47498,"2,230",103.76,"97,486",16321
12,1983,4,"33,630","16,033",1822,20437,586,106.58,"21,372",8763
13,1983,4,"10,516","4,812",882,6964,525,102.33,"26,266",3739
14,1983,4,"42,700","14,760",2448,20878,527,104.42,"24,839",9089
15,1983,4,"8,031","5,428",458,3982,"2,091",102.08,"22,914",1932
16,1983,4,"74,792","27,356",17067,34341,911,101.72,"4,25,298",11536
17,1983,4,"2,98,736","1,12,955",5128,79549,"7,056",101.62,"51,214",41528
18,1983,4,"1,63,372","1,15,127",2491,3928,"19,153",102.15,"58,581",38543
19,1983,4,"48,636","9,946",2592,26612,"2,633",100.88,"15,637",6587
20,1983,4,"1,21,161","57,528",30567,13655,"7,052",101.91,"4,69,294",21869
21,1983,4,"14,090","5,693",1678,3132,525,101.46,"36,236",4843
22,1983,4,"53,500","41,299",641,2021,"1,161",102.33,"70,258",6850
23,1983,4,"31,517","20,518",344,1239,658,100.62,"39,433",4099
24,1983,4,"1,21,949","87,815",1085,3399,"7,947",102.45,"5,82,720",24633
25,1983,4,"33,499","27,523",65,4963,"4,662",101.7,"17,986",1611
26,1983,4,"29,003","10,475",479,12757,"1,683",103.03,"7,797",5590
27,1983,4,"2,20,267","1,85,814",415,22251,"8,523",103.58,"15,74,262",3879
1,1984,5,"9,33,381","6,78,075",14191,201601,"2,08,915",101.19,"11,76,052",39513
2,1984,5,"1,34,053","75,534",11766,8101,"1,921",104.83,"70,961",7557
3,1984,5,"1,18,523","31,246",2299,64612,"6,979",102.69,"1,14,330",15383
4,1984,5,"72,448","29,431",8113,27089,"11,668",102.68,"63,984",17899
5,1984,5,"45,728","20,308",580,11021,"2,927",97.73,"10,580",4156
6,1984,5,"21,172","8,845",2229,7198,812,104.12,"1,17,336",3248
7,1984,5,"1,82,576","16,060",3604,255705,57,102.04,"12,514",2544
8,1984,5,"87,489","24,678",12408,21359,"1,150",105.17,"95,134",12982
